               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094612,              0.0254,            0.037547,            0.058488,            0.097994,            0.027298,           0.0052997,            0.036662,            0.012608,            0.014534,             0.00087,             0.00087,             0.09217
                   1,             0.06435,            0.024602,            0.024521,             0.11731,              0.5412,             0.17129,            0.042341,            0.027569,             0.01111,           0.0080474,             0.00175,             0.00175,             0.08425
                   2,            0.058826,            0.021032,            0.014453,             0.32275,             0.62113,             0.43504,             0.12132,            0.026105,           0.0085316,           0.0037702,             0.00263,             0.00263,             0.07633
                   3,            0.056431,            0.017531,           0.0083412,               0.386,              0.6173,             0.37735,             0.13107,            0.026661,           0.0074895,           0.0023817,           0.0035099,           0.0035099,             0.06841
                   4,            0.051869,            0.015867,           0.0065105,             0.36898,              0.6946,             0.48441,             0.22452,            0.024962,           0.0069294,           0.0021018,           0.0043898,           0.0043898,             0.06049
                   5,            0.051684,            0.015145,           0.0056413,             0.32948,             0.69321,             0.40352,            0.099799,             0.02711,           0.0068218,            0.002348,           0.0052697,           0.0052697,             0.05257
                   6,            0.051131,             0.01434,           0.0047091,              0.4882,             0.59479,             0.51157,             0.11496,            0.031155,           0.0059029,            0.001633,           0.0061495,           0.0061495,             0.04465
                   7,            0.048326,            0.014073,           0.0052834,             0.56279,             0.64098,             0.62098,             0.23345,            0.024364,            0.006115,           0.0029732,           0.0070292,           0.0070292,            0.036729
                   8,            0.046656,            0.014069,           0.0050311,             0.53698,             0.70274,              0.6336,             0.27058,            0.022113,           0.0067291,           0.0023643,           0.0079089,           0.0079089,            0.028809
                   9,             0.04594,            0.014253,           0.0051469,             0.58383,             0.63928,             0.53713,             0.19649,            0.023392,           0.0063793,            0.003557,           0.0087884,           0.0087884,            0.020888
                  10,             0.04699,             0.01347,            0.004605,               0.715,             0.64867,             0.68579,             0.35101,            0.021319,           0.0052509,           0.0036496,           0.0096679,           0.0096679,            0.012968
                  11,            0.044163,            0.013921,           0.0049291,              0.2926,             0.48903,             0.21245,            0.073093,            0.028637,           0.0085017,           0.0067672,           0.0099973,           0.0099973,           0.0099973
                  12,            0.045484,            0.014204,           0.0056299,             0.50618,                0.55,             0.52983,             0.25162,            0.023995,           0.0064329,           0.0031906,           0.0099973,           0.0099973,           0.0099973
                  13,            0.043165,            0.014014,           0.0047374,             0.37858,             0.67603,             0.40633,             0.18947,            0.022429,           0.0087508,           0.0031363,           0.0099968,           0.0099968,           0.0099968
                  14,            0.040993,            0.013545,           0.0043318,             0.58215,             0.75216,             0.63867,             0.34825,            0.019581,           0.0067445,           0.0035946,           0.0099962,           0.0099962,           0.0099962
                  15,            0.041296,            0.012899,           0.0036773,             0.65347,             0.76386,             0.73538,             0.34802,            0.021116,           0.0059107,           0.0019103,           0.0099956,           0.0099956,           0.0099956
                  16,            0.039059,            0.012338,           0.0032528,             0.55527,             0.75874,              0.5833,             0.28979,            0.020003,           0.0075468,           0.0021227,            0.009995,            0.009995,            0.009995
                  17,            0.038541,            0.012664,           0.0035037,             0.78285,             0.71287,             0.73807,              0.3408,             0.02177,           0.0050076,           0.0017246,           0.0099943,           0.0099943,           0.0099943
                  18,            0.037164,            0.012371,           0.0038573,             0.81695,             0.76091,             0.81141,             0.43333,            0.019046,           0.0046239,           0.0015955,           0.0099936,           0.0099936,           0.0099936
                  19,            0.036699,            0.012073,           0.0030817,             0.84368,             0.75154,             0.79776,             0.41348,            0.019397,            0.004605,           0.0011823,           0.0099928,           0.0099928,           0.0099928
                  20,            0.035944,            0.011979,           0.0032003,             0.78389,             0.74315,              0.7941,              0.4252,             0.01925,           0.0045617,           0.0014049,            0.009992,            0.009992,            0.009992
                  21,            0.036289,             0.01206,           0.0033041,             0.62598,              0.6883,             0.66634,             0.36757,            0.018503,           0.0061483,           0.0020605,           0.0099911,           0.0099911,           0.0099911
                  22,             0.03571,            0.011824,           0.0026324,             0.85618,             0.85597,             0.86468,             0.49933,            0.018018,            0.004387,           0.0015179,           0.0099902,           0.0099902,           0.0099902
                  23,             0.03534,            0.011407,           0.0025358,             0.84827,             0.79349,             0.84054,             0.43297,            0.021028,           0.0044291,           0.0014854,           0.0099893,           0.0099893,           0.0099893
                  24,            0.034485,            0.011348,           0.0021193,             0.84388,             0.74532,             0.80894,             0.46747,            0.017862,           0.0048916,           0.0010212,           0.0099883,           0.0099883,           0.0099883
                  25,            0.034483,            0.011399,           0.0024208,             0.74067,             0.81621,             0.79041,             0.38516,            0.019336,           0.0046894,           0.0013089,           0.0099872,           0.0099872,           0.0099872
                  26,            0.032952,            0.011181,           0.0022453,             0.76107,             0.80802,             0.78865,             0.44149,            0.019567,           0.0047322,           0.0016531,           0.0099861,           0.0099861,           0.0099861
                  27,            0.033672,            0.011309,            0.002978,             0.76626,               0.778,             0.79821,             0.46309,            0.017624,            0.005044,           0.0029884,            0.009985,            0.009985,            0.009985
                  28,            0.032951,            0.010876,           0.0020963,             0.79825,              0.8608,              0.8537,             0.47042,            0.018864,           0.0041254,           0.0019136,           0.0099838,           0.0099838,           0.0099838
                  29,             0.03214,            0.010589,           0.0021576,             0.88889,             0.74714,             0.86089,             0.52311,            0.016591,           0.0040489,           0.0011408,           0.0099826,           0.0099826,           0.0099826
                  30,            0.032183,            0.010381,           0.0016863,             0.70252,             0.84705,             0.80238,             0.40458,            0.019014,           0.0045347,           0.0014876,           0.0099813,           0.0099813,           0.0099813
                  31,            0.031135,            0.010437,           0.0020689,             0.86705,             0.77346,             0.85797,             0.47661,            0.018386,           0.0043773,           0.0022048,             0.00998,             0.00998,             0.00998
                  32,            0.032074,            0.010519,           0.0020688,             0.80331,              0.8659,             0.86048,             0.53549,            0.017011,           0.0042803,           0.0023557,           0.0099787,           0.0099787,           0.0099787
                  33,            0.031415,            0.010136,            0.002042,             0.87765,             0.80432,             0.87608,             0.50874,            0.016886,           0.0040972,          0.00085117,           0.0099773,           0.0099773,           0.0099773
                  34,            0.030783,            0.010477,           0.0017695,             0.87473,             0.83813,             0.86764,             0.46935,            0.017689,           0.0042428,           0.0018804,           0.0099758,           0.0099758,           0.0099758
                  35,            0.030906,            0.010305,           0.0017123,             0.92594,               0.786,             0.86664,             0.49925,             0.01699,           0.0041259,           0.0020948,           0.0099744,           0.0099744,           0.0099744
                  36,            0.030091,            0.010247,           0.0014343,             0.85097,              0.8268,             0.87885,              0.4884,            0.018211,           0.0043743,           0.0010167,           0.0099728,           0.0099728,           0.0099728
                  37,            0.030846,            0.009929,           0.0016788,             0.90477,             0.80004,              0.8699,             0.51893,            0.016641,           0.0044005,          0.00085969,           0.0099713,           0.0099713,           0.0099713
                  38,            0.029486,            0.010275,           0.0014839,              0.9097,             0.79425,             0.86978,             0.50361,            0.016969,           0.0042419,           0.0016219,           0.0099696,           0.0099696,           0.0099696
                  39,            0.030367,            0.010061,           0.0017886,              0.8451,             0.81405,             0.86345,             0.52783,            0.016378,           0.0045198,           0.0011514,            0.009968,            0.009968,            0.009968
                  40,            0.029982,            0.010199,           0.0018315,             0.86965,             0.83739,             0.84627,             0.46656,            0.018071,           0.0043798,          0.00062759,           0.0099663,           0.0099663,           0.0099663
                  41,            0.029582,           0.0093749,           0.0015085,              0.9095,             0.82951,             0.86023,             0.50606,            0.017586,           0.0042542,           0.0009352,           0.0099645,           0.0099645,           0.0099645
                  42,            0.029505,           0.0096497,           0.0016575,             0.88128,             0.79673,             0.83105,             0.47789,            0.017558,           0.0043938,          0.00081776,           0.0099627,           0.0099627,           0.0099627
                  43,            0.029656,            0.010303,           0.0017459,              0.8567,             0.77833,             0.81227,             0.49782,            0.017273,           0.0045445,           0.0020718,           0.0099609,           0.0099609,           0.0099609
                  44,            0.028992,            0.010032,           0.0015446,             0.85287,             0.82855,             0.82907,             0.48804,            0.017322,           0.0043027,           0.0010497,            0.009959,            0.009959,            0.009959
                  45,            0.028166,           0.0098066,           0.0014025,             0.91674,             0.77365,             0.86754,             0.51626,            0.016893,           0.0041342,           0.0018619,           0.0099571,           0.0099571,           0.0099571
                  46,            0.029029,           0.0096144,           0.0014666,             0.91103,             0.78238,             0.86351,             0.54761,            0.016014,           0.0042382,          0.00094019,           0.0099551,           0.0099551,           0.0099551
                  47,            0.028259,           0.0094734,           0.0013356,             0.80168,             0.87676,             0.88233,             0.50376,            0.017951,            0.004293,           0.0014525,           0.0099531,           0.0099531,           0.0099531
                  48,            0.028597,           0.0095618,           0.0014372,             0.91691,             0.76806,               0.844,             0.51729,            0.016595,           0.0044392,           0.0020595,            0.009951,            0.009951,            0.009951
                  49,            0.027555,           0.0091674,            0.001251,             0.87837,             0.80576,             0.85196,              0.4931,            0.017165,           0.0045362,           0.0013706,           0.0099489,           0.0099489,           0.0099489
                  50,            0.026639,            0.009349,           0.0012022,             0.88911,             0.85888,             0.88653,             0.53924,            0.016098,             0.00415,          0.00071844,           0.0099468,           0.0099468,           0.0099468
                  51,            0.026986,           0.0091464,           0.0014146,              0.8782,             0.81279,             0.84878,             0.52625,            0.016701,           0.0046922,          0.00090659,           0.0099446,           0.0099446,           0.0099446
                  52,            0.027857,           0.0090109,           0.0016985,             0.88105,             0.82101,             0.87246,              0.5127,            0.016678,           0.0043705,           0.0010787,           0.0099424,           0.0099424,           0.0099424
                  53,            0.028123,           0.0094071,           0.0013507,             0.81873,             0.77572,             0.80596,             0.50996,            0.017436,           0.0047252,           0.0015679,           0.0099401,           0.0099401,           0.0099401
                  54,            0.027187,           0.0094931,           0.0013914,             0.86303,             0.80169,             0.85205,             0.49714,            0.017257,           0.0042655,           0.0020369,           0.0099378,           0.0099378,           0.0099378
                  55,              0.0267,           0.0090491,           0.0013702,             0.88905,             0.82315,             0.85593,              0.4772,            0.017851,            0.004662,           0.0018944,           0.0099354,           0.0099354,           0.0099354
                  56,            0.026522,           0.0090092,           0.0013958,             0.87587,             0.80131,             0.86179,             0.52215,            0.016188,              0.0047,           0.0019246,            0.009933,            0.009933,            0.009933
                  57,            0.027048,           0.0087134,           0.0011488,             0.87571,             0.81674,             0.84955,             0.50837,            0.016837,           0.0044055,           0.0022475,           0.0099305,           0.0099305,           0.0099305
                  58,            0.027208,           0.0090417,           0.0012895,             0.85666,             0.83613,             0.85163,             0.49654,            0.016938,           0.0048109,           0.0015502,            0.009928,            0.009928,            0.009928
                  59,            0.026415,           0.0091985,           0.0010248,             0.82495,             0.82331,              0.8228,             0.49509,            0.017632,           0.0045831,           0.0038333,           0.0099255,           0.0099255,           0.0099255
                  60,             0.02662,           0.0091098,           0.0012277,             0.95223,             0.78422,             0.87856,             0.54142,            0.016516,           0.0043587,           0.0024008,           0.0099229,           0.0099229,           0.0099229
                  61,            0.027014,            0.008853,            0.001354,             0.88406,             0.84227,             0.87386,             0.49022,            0.018183,           0.0044847,            0.002111,           0.0099203,           0.0099203,           0.0099203
                  62,            0.026173,           0.0088547,           0.0015271,             0.69865,             0.79336,             0.78257,             0.48423,            0.016966,           0.0054461,           0.0010117,           0.0099176,           0.0099176,           0.0099176
                  63,            0.026181,           0.0091462,           0.0017525,             0.91498,             0.84512,             0.88615,             0.51903,            0.016652,           0.0046128,           0.0014488,           0.0099149,           0.0099149,           0.0099149
                  64,            0.026295,           0.0093039,           0.0012271,             0.90206,             0.78609,             0.85487,             0.49827,            0.016508,           0.0046043,          0.00085416,           0.0099121,           0.0099121,           0.0099121
                  65,            0.026353,           0.0087328,           0.0011986,             0.83055,             0.85455,             0.86575,             0.55221,            0.015287,            0.004236,          0.00066723,           0.0099093,           0.0099093,           0.0099093
                  66,            0.026258,           0.0089333,           0.0010731,             0.84843,             0.84786,             0.87169,             0.53985,             0.01588,           0.0043218,           0.0012562,           0.0099065,           0.0099065,           0.0099065
                  67,             0.02555,           0.0088185,            0.001187,             0.88951,             0.78451,             0.85159,             0.51587,            0.016426,           0.0046182,          0.00083764,           0.0099036,           0.0099036,           0.0099036
                  68,            0.025757,           0.0087263,            0.001065,             0.87103,             0.74722,             0.84572,             0.50736,            0.016879,             0.00485,          0.00049037,           0.0099007,           0.0099007,           0.0099007
                  69,             0.02538,           0.0087561,           0.0014124,             0.82512,             0.85843,              0.8516,             0.48951,            0.016941,           0.0048195,           0.0012369,           0.0098977,           0.0098977,           0.0098977
                  70,             0.02542,           0.0087963,            0.001235,             0.93097,             0.83484,             0.87231,             0.52127,            0.015788,           0.0044369,           0.0015387,           0.0098947,           0.0098947,           0.0098947
                  71,            0.025387,           0.0087323,           0.0013572,             0.89162,             0.83702,             0.86123,             0.52825,             0.01626,           0.0047212,           0.0018102,           0.0098916,           0.0098916,           0.0098916
                  72,            0.024706,            0.008334,           0.0010727,             0.88153,              0.8465,             0.89232,             0.52612,            0.015544,           0.0043378,          0.00062273,           0.0098885,           0.0098885,           0.0098885
                  73,            0.024822,           0.0085651,            0.001399,             0.86591,             0.83096,             0.86634,             0.50254,            0.016712,           0.0045192,           0.0011742,           0.0098854,           0.0098854,           0.0098854
                  74,            0.025328,           0.0088221,           0.0016351,             0.86432,             0.83947,             0.86221,             0.50255,            0.016357,           0.0047776,           0.0015883,           0.0098822,           0.0098822,           0.0098822
                  75,            0.025418,           0.0088704,           0.0013417,              0.8196,             0.83101,             0.83631,             0.50104,            0.016506,            0.004842,          0.00078382,           0.0098789,           0.0098789,           0.0098789
                  76,            0.025217,           0.0086639,           0.0014631,             0.77405,             0.82118,             0.84495,             0.51185,            0.016231,            0.004989,          0.00099356,           0.0098757,           0.0098757,           0.0098757
