               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093789,            0.030736,            0.036808,             0.37684,             0.18472,             0.19247,            0.051846,            0.067665,            0.021472,            0.029772,              0.0013,              0.0013,              0.0883
                   1,             0.06389,             0.02908,            0.021172,             0.55719,             0.65451,               0.613,             0.22208,            0.052531,            0.014691,            0.010284,             0.00261,             0.00261,             0.07651
                   2,            0.060061,            0.022828,           0.0096867,             0.42455,             0.69904,             0.49811,             0.14787,            0.052816,            0.011645,           0.0052769,           0.0039199,           0.0039199,             0.06472
                   3,             0.05814,            0.018522,           0.0068766,             0.46891,             0.77469,             0.56174,             0.21413,            0.054639,            0.010533,           0.0052376,           0.0052296,           0.0052296,             0.05293
                   4,            0.054566,            0.017482,           0.0058392,             0.40874,             0.76312,             0.53134,             0.15088,            0.054211,           0.0093976,           0.0045692,           0.0065391,           0.0065391,            0.041139
                   5,             0.05197,            0.017242,           0.0061773,             0.63038,             0.69884,             0.63235,             0.23876,            0.051593,           0.0095641,           0.0045312,           0.0078483,           0.0078483,            0.029348
                   6,            0.050671,            0.016721,           0.0053998,             0.67869,             0.58349,             0.66231,             0.18885,            0.054005,           0.0098774,           0.0056246,           0.0091571,           0.0091571,            0.017557
                   7,            0.050366,             0.01612,           0.0052381,             0.78983,             0.69364,             0.79197,             0.39204,            0.042799,            0.010047,           0.0063004,           0.0099956,           0.0099956,           0.0099956
                   8,            0.048178,            0.016943,           0.0048851,             0.80869,             0.75148,             0.78203,             0.43958,            0.040492,            0.010039,           0.0035401,           0.0099956,           0.0099956,           0.0099956
                   9,            0.043684,            0.016292,           0.0059641,             0.80666,             0.75847,              0.7877,             0.34574,            0.045869,            0.009871,           0.0032961,           0.0099943,           0.0099943,           0.0099943
                  10,            0.041395,            0.016341,           0.0044482,             0.83919,             0.75901,             0.81667,             0.25277,            0.051242,           0.0094802,            0.002669,           0.0099928,           0.0099928,           0.0099928
