               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025268,            0.011129,           0.0012759,             0.94577,             0.88663,             0.91137,             0.57232,            0.029674,           0.0084969,            0.002514,          0.00097178,          0.00097178,          0.00097178
                  36,            0.025796,             0.01093,           0.0015177,              0.9473,             0.88971,              0.9072,             0.61121,            0.027686,           0.0084881,           0.0023171,          0.00097011,          0.00097011,          0.00097011
                  37,            0.025332,            0.011228,           0.0011301,              0.9424,             0.90225,             0.91622,             0.59651,            0.028342,            0.008281,            0.002247,           0.0009684,           0.0009684,           0.0009684
                  38,            0.025558,            0.011025,           0.0014996,             0.94484,             0.87581,             0.90293,              0.5866,            0.028687,           0.0086024,           0.0027794,          0.00096664,          0.00096664,          0.00096664
                  39,            0.025534,            0.010528,           0.0012513,             0.94073,             0.89318,             0.91433,             0.59638,            0.027916,            0.008486,           0.0026824,          0.00096484,          0.00096484,          0.00096484
                  40,            0.024157,            0.010665,           0.0012144,             0.92243,             0.92182,             0.91633,             0.57921,            0.029371,           0.0084391,           0.0025045,          0.00096299,          0.00096299,          0.00096299
                  41,            0.023856,            0.010874,           0.0010127,             0.91826,             0.92217,             0.91777,             0.58804,            0.029048,           0.0086947,            0.002755,           0.0009611,           0.0009611,           0.0009611
                  42,            0.024649,            0.010603,            0.001194,             0.96267,             0.87521,             0.91018,             0.57987,             0.02979,           0.0085934,             0.00247,          0.00095916,          0.00095916,          0.00095916
                  43,            0.024452,            0.010527,           0.0010066,             0.91692,             0.88507,             0.90446,             0.54959,            0.032046,           0.0086799,           0.0028386,          0.00095717,          0.00095717,          0.00095717
                  44,            0.023866,            0.010871,             0.00112,             0.93617,             0.89758,             0.91919,             0.62295,            0.027821,           0.0082576,           0.0029985,          0.00095514,          0.00095514,          0.00095514
